model,report,D_mm,T_mm,d_mm,t_mm,d_D,D_T,load_type,load_on,load_category,location,microstrain_1,microstrain_2,microstrain_3,stress_trans,stress_long,stress_shear,sigma1_psi,sigma2_psi,sigma1_MPa,sigma2_MPa,SI_MPa
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-C-A,-361,306,239,12380,-7122,905,12420,-7164,85.636,-49.396,135.032
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-C-B,-121,254,193,9960,-633,804,10020,-694,69.088,-4.785,73.873
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-C-C,19,224,188,9044,3284,481,9084,3244,62.634,22.367,40.267
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-C-0,90,195,162,7755,5035,443,7825,4965,53.953,34.234,19.719
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-C-E,122,165,138,6540,5612,361,6664,5488,45.948,37.84,8.108
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-C-F,114,85,66,3185,4377,247,4426,3136,30.517,21.623,8.894
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-C-H,43,48,31,1697,1792,222,1971,1518,13.59,10.467,3.123
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-C-J,34,62,41,2240,1684,279,2355,1568,16.238,10.811,5.427
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-C-K,26,52,37,1935,1365,203,1999,1300,13.783,8.963,4.82
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-C-L,14,49,42,1990,1010,101,2000,1000,13.79,6.895,6.895
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,O-O-C-B,-16,299,311,13420,3541,-158,13420,3538,92.531,24.395,68.136
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,O-O-C-C,-68,214,224,9705,859,-127,9706,857,66.923,5.909,61.014
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,O-O-C-0,-86,152,164,7029,-457,-165,7032,-461,48.486,-3.179,51.665
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-O-C-F,-26,51,58,2430,-41,-101,2434,-45,16.782,-0.31,17.092
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,Q-O-C-G,29,42,50,1994,1468,-101,2013,1449,13.88,9.991,3.889
