tag,pof_prior,pof_posterior,pof_hdi_5,pof_hdi_95,pof_update,cr_mean,RUL_years,insp_interval_mo,risk_label
E-101,0.000556,0.347967,0.183341,0.529033,0.34741,0.2809,6.95,6,High
L-01,0.002505,0.349313,0.18798,0.532515,0.346808,0.2835,0.31,3,Critical
L-02,0.003425,0.354239,0.187124,0.533936,0.350815,0.2943,0.05,3,Critical
L-03,0.004427,0.500742,0.318548,0.676476,0.496315,0.5487,0.07,3,Critical
L-04,0.00073,0.149654,0.046225,0.294565,0.148924,0.121,6.13,12,Medium
L-05,0.001096,0.198825,0.071974,0.359152,0.197729,0.1612,3.56,12,High
L-06,0.00096,0.151615,0.046963,0.297624,0.150655,0.1396,5.05,12,Medium
L-07,0.000292,0.051357,0.003067,0.143933,0.051065,0.0586,36.64,12,Medium
L-08,0.000768,0.099333,0.018438,0.2239,0.098566,0.083,17.41,12,High
L-09,0.000125,0.052414,0.002863,0.149502,0.052289,0.0505,55.63,12,Low
L-10,0.007415,0.506255,0.319038,0.682524,0.49884,0.7058,0.02,3,Critical
V-101,0.000719,0.504845,0.32119,0.688216,0.504127,0.4185,10.96,3,High
