date,line_id,pressure_inlet_bar,pressure_outlet_bar,temp_process_c,wall_temp_c,ambient_temp_c,flow_rate_m3h,vibration_mm_s,h2s_ppm_an1,h2s_ppm_an2,arab_heavy_fraction,vapor_fraction,dew_point_c,delta_T_dew,sensor_status
2018-01-01,E-101,10.644,10.529,42.1,40.46,7.44,0.0,0.405,639.5,664.0,0.2406,0.2452,9.52,30.95,0
2018-01-02,E-101,12.734,12.937,44.58,44.08,7.95,0.0,0.431,645.6,603.4,0.2718,0.3461,12.01,32.07,0
2018-01-03,E-101,12.325,11.932,47.11,41.86,6.0,0.0,0.326,621.7,604.7,0.25,0.274,11.11,30.74,0
2018-01-04,E-101,10.995,10.675,47.18,41.66,9.51,0.0,0.401,760.3,739.9,0.2061,0.2081,10.96,30.7,0
2018-01-05,E-101,10.244,9.879,45.05,41.29,8.56,0.0,0.504,629.2,,0.2532,0.0,13.0,28.29,0
2018-01-06,E-101,10.361,10.186,47.09,42.42,7.36,0.0,0.381,771.4,761.8,0.2682,0.3236,9.26,33.15,0
2018-01-07,E-101,12.945,12.678,43.16,39.34,5.77,0.0,0.322,919.4,908.3,0.2713,0.3869,8.97,30.37,0
2018-01-08,E-101,12.189,12.3,44.97,39.28,8.4,0.0,0.387,734.7,702.4,0.2667,0.1563,10.7,28.58,0
2018-01-09,E-101,10.634,10.298,44.47,41.25,9.71,0.0,0.274,569.0,534.9,0.2238,0.3158,12.35,28.9,0
2018-01-10,E-101,11.768,11.66,45.57,44.39,8.08,0.0,0.419,566.8,539.6,0.236,0.1855,8.88,35.51,0
2018-01-11,E-101,11.837,11.94,46.32,42.22,9.13,0.0,0.472,666.6,654.8,0.2329,0.0951,14.47,27.75,0
2018-01-12,E-101,10.742,10.427,44.33,41.41,10.09,0.0,0.484,646.2,614.3,0.2686,0.3983,10.18,31.23,0
2018-01-13,E-101,14.581,14.034,45.47,42.71,11.47,0.0,0.507,786.3,797.4,0.2671,0.3371,18.0,24.72,0
2018-01-14,E-101,11.4,11.144,51.94,49.88,10.96,0.0,0.289,626.9,615.5,0.2287,0.2662,21.53,28.36,0
2018-01-15,E-101,11.754,11.564,44.66,40.19,10.8,0.0,0.412,777.3,784.9,0.2373,0.215,11.91,28.29,0
2018-01-16,E-101,14.109,14.03,46.15,40.47,13.76,0.0,0.499,611.4,636.2,0.2475,0.1072,12.1,28.37,0
2018-01-17,E-101,11.77,11.706,46.31,44.27,9.16,0.0,0.377,729.4,671.8,0.2647,0.2024,11.71,32.55,0
2018-01-18,E-101,11.383,11.243,47.7,41.47,14.36,0.0,0.472,565.1,565.5,0.2551,0.3943,13.83,27.64,0
2018-01-19,E-101,14.831,14.249,44.46,40.62,11.14,0.0,0.363,666.8,659.8,0.2102,0.392,9.67,30.95,0
2018-01-20,E-101,7.722,7.654,47.0,41.49,7.45,0.0,0.319,636.6,680.4,0.2279,0.2414,11.37,30.12,0
2018-01-21,E-101,8.59,8.587,52.03,46.64,12.9,0.0,0.435,657.0,678.4,0.2466,0.2643,17.97,28.67,0
2018-01-22,E-101,14.464,14.067,49.38,44.12,12.63,0.0,0.274,713.9,716.7,0.2674,0.1265,13.68,30.44,0
2018-01-23,E-101,10.844,26.31715106211203,51.47,45.25,11.33,0.0,0.339,704.5,709.3,0.2822,0.3623,15.66,29.6,0
2018-01-24,E-101,10.864,10.593,44.96,40.26,13.35,0.0,0.554,701.2,684.6,0.2438,0.1899,9.35,30.9,0
2018-01-25,E-101,13.138,13.005,46.25,40.37,12.24,0.0,0.325,645.5,642.1,0.2745,0.2144,15.45,24.93,0
2018-01-26,E-101,11.552,11.473,46.88,40.98,12.22,0.0,0.404,633.6,641.9,0.2442,0.1955,14.57,26.41,0
2018-01-27,E-101,13.577,12.899,49.37,47.48,12.71,0.0,0.449,568.9,540.1,0.2301,0.1293,15.63,31.85,0
2018-01-28,E-101,12.758,12.318,49.93,44.57,15.73,0.0,0.495,677.0,673.8,0.2506,0.1773,18.18,26.39,0
2018-01-29,E-101,11.741,11.404,37.45,35.04,13.87,0.0,0.623,661.0,660.1,0.2423,0.1997,0.46,34.59,0
2018-01-30,E-101,13.037,12.636,44.06,42.93,16.74,0.0,0.441,,715.8,0.2265,0.445,10.48,32.45,0
2018-01-31,E-101,10.016,9.722,46.33,40.05,13.63,,0.539,432.7,407.2,0.2394,0.3065,18.57,21.48,0
2018-02-01,E-101,12.486,12.343,48.48,46.05,15.63,0.0,0.452,736.9,749.5,0.2751,0.1202,12.09,33.95,0
2018-02-02,E-101,12.429,12.331,39.72,35.14,18.64,0.0,0.471,593.8,573.2,0.2505,0.2424,8.55,26.6,0
2018-02-03,E-101,13.6,13.54,51.48,45.79,15.67,0.0,0.477,636.5,652.7,0.2303,0.2938,21.04,24.75,0
2018-02-04,E-101,12.544,12.096,42.28,41.49,12.38,0.0,0.297,701.4,716.5,0.2672,0.0601,7.28,34.21,0
2018-02-05,E-101,13.126,13.053,47.43,43.32,15.45,,0.435,624.8,695.9,0.261,0.3782,14.73,28.6,0
2018-02-06,E-101,13.828,13.669,49.66,47.1,12.79,0.0,0.219,709.2,758.3,0.2511,0.2451,14.34,32.76,0
2018-02-07,E-101,11.27,11.0,43.17,38.8,14.51,0.0,0.488,668.5,698.5,0.2584,0.1995,9.25,29.55,0
2018-02-08,E-101,11.277,10.944,48.73,46.81,17.0,0.0,0.213,526.1,560.9,0.2485,0.1853,18.09,28.72,0
2018-02-09,E-101,13.151,12.867,47.5,42.83,15.22,0.0,0.313,627.6,634.4,0.2375,0.3283,11.21,31.62,0
2018-02-10,E-101,13.689,13.736,49.94,49.07,14.33,0.0,0.402,682.9,686.6,0.2572,0.2693,18.92,30.15,0
2018-02-11,E-101,13.916,13.785,43.68,40.29,15.25,0.0,0.41,781.4,792.6,0.2722,0.1659,7.79,32.5,0
2018-02-12,E-101,13.57,13.607,52.92,47.29,16.19,0.0,0.351,757.8,736.5,0.2352,0.3833,20.0,27.29,0
2018-02-13,E-101,18.353,17.855,52.64,48.06,19.63,0.0,0.496,830.7,831.8,0.2151,0.191,12.86,35.2,0
2018-02-14,E-101,13.035,12.555,45.4,39.95,18.69,0.0,0.498,828.4,844.7,0.2429,0.3761,16.24,23.71,0
2018-02-15,E-101,12.61,12.583,49.09,45.2,12.44,0.0,0.463,537.1,530.5,0.2039,0.157,15.4,29.8,0
2018-02-16,E-101,12.81,12.572,48.74,42.72,17.79,0.0,0.315,731.8,709.5,0.2307,0.285,14.15,28.57,0
2018-02-17,E-101,10.477,9.959,46.23,42.22,13.98,0.0,0.331,583.4,611.4,0.2413,0.3505,9.49,32.73,0
2018-02-18,E-101,12.48,12.22,50.02,45.26,15.83,0.0,0.469,642.8,648.0,0.2384,0.4012,15.62,29.64,0
2018-02-19,E-101,11.777,11.937,49.13,47.94,14.37,0.0,0.407,586.6,564.7,0.2402,0.3227,14.31,33.63,0
2018-02-20,E-101,12.64,12.204,46.14,43.84,18.09,0.0,0.37,713.0,711.7,0.2558,,16.03,27.81,0
2018-02-21,E-101,11.361,10.919,53.26,49.22,17.22,0.0,0.379,645.2,653.2,0.2362,0.2991,21.43,27.79,0
2018-02-22,E-101,14.622,14.172,52.03,46.57,14.38,0.0,0.388,753.4,792.7,0.2259,0.179,15.57,31.0,0
2018-02-23,E-101,12.771,12.441,,47.06,17.11,0.0,0.561,697.3,745.1,0.2472,0.0,10.81,36.25,0
2018-02-24,E-101,10.464,10.185,43.57,41.52,19.52,0.0,0.307,656.1,659.5,0.2351,0.3185,13.96,27.56,0
2018-02-25,E-101,11.642,11.539,47.26,42.15,18.7,0.0,0.446,631.5,647.9,0.2611,0.1915,10.13,32.03,0
2018-02-26,E-101,13.638,13.136,51.67,46.72,18.22,0.0,0.48,589.0,596.5,0.2766,0.2462,20.28,26.43,0
2018-02-27,E-101,10.769,10.304,48.83,45.02,16.91,0.0,0.344,590.6,563.8,0.2443,0.2928,10.93,34.09,0
2018-02-28,E-101,8.73,,52.4,49.8,18.09,0.0,0.276,701.8,674.3,0.2538,0.3176,18.16,31.64,0
2018-03-01,E-101,13.437,13.338,51.74,49.97,20.66,0.0,0.458,544.8,549.4,0.2386,0.2935,20.19,29.78,0
2018-03-02,E-101,12.586,12.358,53.31,49.52,18.52,0.0,0.413,723.9,711.2,0.2448,0.397,17.44,32.08,0
2018-03-03,E-101,11.265,11.077,50.59,48.23,17.85,0.0,0.366,799.6,819.7,0.2521,0.2408,18.2,30.03,0
2018-03-04,E-101,10.377,10.135,51.12,49.72,16.36,0.0,0.313,669.8,640.5,0.2772,0.3059,12.05,37.67,0
2018-03-05,E-101,10.867,10.396,55.63,52.79,18.22,0.0,0.274,461.1,466.9,0.2803,0.3367,21.72,31.08,0
2018-03-06,E-101,15.105,14.888,55.21,52.24,15.59,0.0,0.32,669.9,637.9,0.2502,0.2683,16.57,35.66,0
2018-03-07,E-101,11.818,11.158,44.82,41.94,16.95,0.0,0.633,577.5,590.2,0.231,0.3357,10.51,31.42,0
2018-03-08,E-101,10.276,9.996,45.52,43.82,20.08,0.0,0.451,661.4,648.5,0.2464,0.3424,13.82,30.0,0
2018-03-09,E-101,10.444,10.215,50.79,49.33,17.03,0.0,0.293,741.9,724.3,0.2532,0.3482,13.02,36.3,0
2018-03-10,E-101,11.318,11.268,50.16,46.33,15.46,0.0,0.337,661.1,668.6,0.205,0.1726,19.87,26.46,0
2018-03-11,E-101,10.407,10.201,49.94,42.56,18.44,0.0,0.437,642.6,668.9,0.2634,0.2947,19.04,23.52,0
2018-03-12,E-101,9.773,9.485,49.88,45.9,20.38,0.0,0.304,579.2,574.7,0.2847,0.1778,10.43,35.47,0
2018-03-13,E-101,11.987,11.866,45.39,41.34,19.76,0.0,0.397,788.8,776.8,0.2173,0.1448,6.99,34.35,0
2018-03-14,E-101,12.794,12.669,52.6,49.31,19.66,0.0,0.464,888.2,928.8,0.2381,0.2342,11.13,38.18,0
2018-03-15,E-101,15.477,15.111,45.13,40.12,20.38,0.0,0.515,624.6,644.9,0.271,0.4696,8.03,32.1,0
2018-03-16,E-101,11.522,11.337,47.92,45.43,19.66,0.0,0.387,743.8,686.2,0.2583,0.4066,8.71,36.72,0
2018-03-17,E-101,16.439,16.173,49.95,46.37,22.27,0.0,0.467,776.7,699.8,0.2414,0.1067,17.46,28.91,0
2018-03-18,E-101,10.167,10.069,47.33,42.65,17.41,0.0,0.506,674.2,675.6,0.2353,0.3767,16.26,26.39,0
2018-03-19,E-101,13.016,12.885,50.13,43.2,19.05,0.0,0.466,453.0,429.7,0.2506,0.3069,20.11,23.09,0
2018-03-20,E-101,12.798,12.813,46.72,41.4,18.0,0.0,0.275,683.8,726.2,0.254,0.2404,11.47,29.93,0
2018-03-21,E-101,10.812,10.463,50.85,44.49,18.98,0.0,0.299,725.0,770.6,0.2391,0.3103,19.59,24.89,0
2018-03-22,E-101,8.526,8.107,50.43,46.66,21.98,0.0,0.378,709.6,731.3,0.2339,0.2558,13.61,33.04,0
2018-03-23,E-101,10.759,10.499,43.01,35.53,18.3,0.0,0.218,716.0,685.4,0.2442,0.2717,6.4,29.13,0
2018-03-24,E-101,10.991,10.869,45.72,43.6,18.61,0.0,0.4,526.4,545.0,0.2542,0.2755,12.6,31.0,0
2018-03-25,E-101,12.189,11.787,51.37,46.93,21.65,0.0,0.451,790.4,831.7,0.2626,0.3465,13.46,33.46,0
2018-03-26,E-101,13.84,13.227,47.7,40.03,18.62,0.0,0.43,755.3,750.9,0.249,0.1771,10.37,29.67,0
2018-03-27,E-101,11.075,11.072,54.22,48.23,18.84,0.0,0.511,713.1,786.5,0.2263,0.4801,26.77,21.46,0
2018-03-28,E-101,11.281,11.269,53.17,119.69419630432729,19.64,0.0,0.475,651.7,675.8,0.2596,0.3355,24.53,25.12,0
2018-03-29,E-101,9.392,9.356,44.64,38.88,18.24,0.0,0.294,684.9,675.9,0.2518,0.2538,11.31,27.58,0
2018-03-30,E-101,8.634,8.28,55.17,49.05,16.07,0.0,0.456,608.0,589.1,0.2802,0.3351,24.21,24.84,0
2018-03-31,E-101,13.115,12.513,55.39,48.43,17.82,0.0,0.378,748.8,753.1,0.2365,0.2398,17.55,30.88,0
2018-04-01,E-101,13.786,13.303,50.1,46.73,17.58,0.0,0.376,829.3,806.8,0.367,0.0552,17.48,29.25,0
2018-04-02,E-101,12.934,12.758,49.21,42.06,16.17,0.0,0.416,848.2,846.2,0.3574,0.4298,13.7,28.36,0
2018-04-03,E-101,14.81,14.38,46.24,42.59,21.38,0.0,0.376,924.7,940.7,0.3435,0.2813,9.25,33.34,0
2018-04-04,E-101,9.78,9.412,52.58,45.46,15.66,0.0,0.528,753.4,756.7,0.3514,0.2865,15.94,29.51,0
2018-04-05,E-101,13.295,12.877,48.26,42.48,22.67,0.0,0.432,1006.9,1050.5,0.3547,0.3087,11.41,31.07,0
2018-04-06,E-101,13.848,13.363,49.14,46.2,21.78,0.0,0.392,972.0,989.3,0.3446,0.3837,10.59,35.6,0
2018-04-07,E-101,13.201,12.696,50.52,45.8,18.45,0.0,0.328,1088.9,1101.9,0.327,0.3626,12.51,33.29,0
2018-04-08,E-101,11.172,11.018,45.56,43.18,20.27,0.0,0.514,996.2,1029.1,0.3484,0.4564,10.38,32.8,0
2018-04-09,E-101,12.658,12.524,52.63,44.49,19.14,0.0,0.278,973.5,929.6,0.3309,0.3009,13.81,30.68,0
2018-04-10,E-101,15.195,14.858,47.05,42.19,16.99,0.0,0.278,957.6,999.6,0.3587,0.1096,9.86,32.33,0
